766	788	Call	zn	Kwang	KM002	gt	04/20/1995		g.r.		20	BK 50		MK_DT1_80
788	793	Call	cc	Kwang	K????	fo	04/20/1995		g.r.	in background far away	20	BK 50		MK_DT1_81
793	797	Call	zn	Kwang	KM002	gt	04/20/1995		g.r.		20	BK 50		MK_DT1_82
797	810	Call	cc	Kwang	K????	fo	04/20/1995		g.r.	"in background far away, cc at 13.17/13.18/13.21"	20	BK 50		MK_DT1_83
810	813	Call	zn	Kwang	KM002	gt	04/20/1995		g.r.		20	BK 50		MK_DT1_84
813	823	Call	cc	Kwang	K????	fo	04/20/1995		g.r.	in background far away	20	BK 50		MK_DT1_85
823	826	Call	zn	Kwang	KM002	gt	04/20/1995		g.r.		20	BK 50		MK_DT1_86
826	836	Call	cc	Kwang	K????	fo	04/20/1995		g.r.	in background far away	20	BK 50		MK_DT1_87
836	838	Call	zn	Kwang	KM002	gt	04/20/1995		g.r.		20	BK 50		MK_DT1_88
838	840	Call	sn	Kwang	KM002	gt	04/20/1995		n.v.g.r.	very noisy BK	20	BK 50		MK_DT1_89
840	845	Call	cc	Kwang	KM002	fo	04/20/1995		n.v.g.r.	very noisy BK	20	BK 50		MK_DT1_90
845	872	Call	explan						g.r.	explanation				MK_DT1_91
872	878	Call	explan	Jacksons			04/22/1995	1.01	g.r.	explanation				MK_DT1_92
878	894	Call	md	Jacksons		su	04/22/1995		g.r.	because of jackal 100m away	20	BK 40		MK_DT1_93
894	908	Call	cc (gkz)	Jacksons		su	04/22/1995		g.r.		20	BK 40		MK_DT1_94
908	914	Call	cc (gkz)	Jacksons		su	04/22/1995		g.r.		20	BK 40		MK_DT1_95
914	921	Call	cc	Jacksons		su	04/22/1995		g.r.		20	BK 40		MK_DT1_96
921	927	Call	cc	Jacksons		su	04/22/1995		g.r.		20	BK 40		MK_DT1_97
927	930	Call	sn (gkz) ??	Jacksons		su	04/22/1995		g.r.		20	BK 40		MK_DT1_98
930	931	Call	cc (gkz)	Jacksons		su	04/22/1995		g.r.		20	BK 40		MK_DT1_99
931	938	Call	sn (gkz)	Jacksons		su	04/22/1995		g.r.		20	BK 40		MK_DT1_100
938	964	Call	explan	Jacksons			04/22/1995		g.r.		20	BK 40		MK_DT1_101
964	1011	Call	sn	Jacksons	JF003	su	04/22/1995	1.11	g.r.	sn at 16.09/16.15/16.23/16.35/16.36/16.40/16.41/16.43/16.46/16.49	20	BK 50		MK_DT1_102
1011	1021	Call	explan	Jacksons	JF003		04/22/1995		g.r.	explanation				MK_DT1_103
1021	1034	Call	sn	Jacksons	JF003	su	04/22/1995		g.r.	sn at 17.07	20	BK 50-40		MK_DT1_104
1034	1036	Call	zn	Jacksons	JF003	su	04/22/1995		g.r.		20	BK 50-40		MK_DT1_105
1036	1038	Call	sn	Jacksons	JF003	su	04/22/1995		g.r.		20	BK 50-40		MK_DT1_106
1038	1039	Call	cc	Jacksons	JF003	su	04/22/1995		g.r./bkg		20	BK 50-40		MK_DT1_106
1039	1075	Call	sn	Jacksons	JF003	su	04/22/1995		g.r.	sn at 17.21/17.35/17.43/	20	BK 50-40		MK_DT1_107
1075	1085	Call	cc	Jacksons	JF003	su	04/22/1995		g.r./bkg		20	BK 50-40		MK_DT1_108
1085	1101	Call	explan	Jacksons	JF003	su	04/22/1995		g.r.	explanation	20	BK 50-40		MK_DT1_109
1101	1113	Call	sn	Jacksons	JF003	su	04/22/1995		g.r.	sn at 18.25	20	BK 50-40		MK_DT1_110
1113	1114	Call	zn	Jacksons	JF003	su	04/22/1995		g.r.		20	BK 50-40		MK_DT1_111
1114	1116	Call	cc	Jacksons	JF003	su	04/22/1995		g.r./bkg		20	BK 50-40		MK_DT1_112
1116	1119	Call	sn	Jacksons	JF003	su	04/22/1995		g.r.		20	BK 50-40		MK_DT1_113
